LapNumber,LapTime,Compound
9.0,103.062,MEDIUM
10.0,102.655,MEDIUM
11.0,103.172,MEDIUM
12.0,102.559,MEDIUM
13.0,102.82,MEDIUM
14.0,103.111,MEDIUM
15.0,103.409,MEDIUM
16.0,102.932,MEDIUM
17.0,103.082,MEDIUM
18.0,102.655,MEDIUM
19.0,103.038,MEDIUM
20.0,103.378,MEDIUM
21.0,104.164,MEDIUM
22.0,122.793,HARD
23.0,101.437,HARD
24.0,101.875,HARD
25.0,102.377,HARD
26.0,101.943,HARD
27.0,101.875,HARD
28.0,101.867,HARD
29.0,101.574,HARD
30.0,102.729,HARD
31.0,101.93,HARD
32.0,102.299,HARD
33.0,102.097,HARD
34.0,101.896,HARD
35.0,102.128,HARD
36.0,102.071,HARD
37.0,102.065,HARD
38.0,102.533,HARD
39.0,102.2,HARD
40.0,119.773,MEDIUM
41.0,99.738,MEDIUM
42.0,100.116,MEDIUM
43.0,99.926,MEDIUM
44.0,99.809,MEDIUM
45.0,99.845,MEDIUM
46.0,99.987,MEDIUM
47.0,99.91,MEDIUM
48.0,99.393,MEDIUM
49.0,99.673,MEDIUM
50.0,99.676,MEDIUM
51.0,99.577,MEDIUM
52.0,100.521,MEDIUM
53.0,100.179,MEDIUM
54.0,100.175,MEDIUM
55.0,100.34,MEDIUM
56.0,100.794,MEDIUM
1.0,108.429,MEDIUM
2.0,104.96,MEDIUM
3.0,105.491,MEDIUM
4.0,102.408,MEDIUM
5.0,102.636,MEDIUM
6.0,102.777,MEDIUM
7.0,102.687,MEDIUM
8.0,103.377,MEDIUM
9.0,103.14,MEDIUM
10.0,103.407,MEDIUM
11.0,103.175,MEDIUM
12.0,102.699,MEDIUM
13.0,103.459,MEDIUM
14.0,103.424,MEDIUM
15.0,103.12,MEDIUM
16.0,103.212,MEDIUM
17.0,103.443,MEDIUM
18.0,103.92,MEDIUM
19.0,120.632,MEDIUM
20.0,101.882,MEDIUM
21.0,101.963,MEDIUM
22.0,102.598,MEDIUM
23.0,101.948,MEDIUM
24.0,102.035,MEDIUM
25.0,102.335,MEDIUM
26.0,102.323,MEDIUM
27.0,102.201,MEDIUM
28.0,102.465,MEDIUM
29.0,102.102,MEDIUM
30.0,102.368,MEDIUM
31.0,102.516,MEDIUM
32.0,102.237,MEDIUM
33.0,102.178,MEDIUM
34.0,101.983,MEDIUM
35.0,102.052,MEDIUM
36.0,103.869,MEDIUM
37.0,102.377,MEDIUM
38.0,122.732,HARD
39.0,101.934,HARD
40.0,101.134,HARD
41.0,100.979,HARD
42.0,101.109,HARD
43.0,101.271,HARD
44.0,101.363,HARD
45.0,100.695,HARD
46.0,101.024,HARD
47.0,100.412,HARD
48.0,100.668,HARD
49.0,100.641,HARD
50.0,100.713,HARD
51.0,101.168,HARD
52.0,101.123,HARD
53.0,101.115,HARD
54.0,100.963,HARD
55.0,101.087,HARD
56.0,101.399,HARD
1.0,114.949,HARD
2.0,104.567,HARD
3.0,104.207,HARD
4.0,105.66,HARD
5.0,104.919,HARD
6.0,103.424,HARD
7.0,103.864,HARD
8.0,104.014,HARD
9.0,103.852,HARD
10.0,104.246,HARD
11.0,103.411,HARD
12.0,103.003,HARD
13.0,103.343,HARD
14.0,103.15,HARD
15.0,103.51,HARD
16.0,103.148,HARD
17.0,103.581,HARD
18.0,104.135,HARD
19.0,103.523,HARD
20.0,103.805,HARD
21.0,122.975,MEDIUM
22.0,101.825,MEDIUM
23.0,102.29,MEDIUM
24.0,102.367,MEDIUM
25.0,102.034,MEDIUM
26.0,102.273,MEDIUM
27.0,103.576,MEDIUM
28.0,101.595,MEDIUM
29.0,101.447,MEDIUM
30.0,101.401,MEDIUM
31.0,101.479,MEDIUM
32.0,101.469,MEDIUM
33.0,101.68,MEDIUM
34.0,101.538,MEDIUM
35.0,101.615,MEDIUM
36.0,101.631,MEDIUM
37.0,101.614,MEDIUM
38.0,101.361,MEDIUM
39.0,101.276,MEDIUM
40.0,101.931,MEDIUM
41.0,119.41,MEDIUM
42.0,100.544,MEDIUM
43.0,100.783,MEDIUM
44.0,100.259,MEDIUM
45.0,100.038,MEDIUM
46.0,100.35,MEDIUM
47.0,99.971,MEDIUM
48.0,99.908,MEDIUM
49.0,100.176,MEDIUM
50.0,99.984,MEDIUM
51.0,100.224,MEDIUM
52.0,100.53,MEDIUM
53.0,100.372,MEDIUM
54.0,100.636,MEDIUM
55.0,100.343,MEDIUM
56.0,100.842,MEDIUM
1.0,109.255,MEDIUM
2.0,104.82,MEDIUM
3.0,105.158,MEDIUM
4.0,103.281,MEDIUM
5.0,103.084,MEDIUM
6.0,103.266,MEDIUM
7.0,103.314,MEDIUM
8.0,103.392,MEDIUM
9.0,103.425,MEDIUM
10.0,103.232,MEDIUM
11.0,103.284,MEDIUM
12.0,103.007,MEDIUM
13.0,103.428,MEDIUM
14.0,103.486,MEDIUM
15.0,103.434,MEDIUM
16.0,103.601,MEDIUM
17.0,103.535,MEDIUM
18.0,122.297,HARD
19.0,102.014,HARD
20.0,102.118,HARD
21.0,101.942,HARD
22.0,102.485,HARD
23.0,102.226,HARD
24.0,102.292,HARD
25.0,102.341,HARD
26.0,102.942,HARD
27.0,102.666,HARD
28.0,102.588,HARD
29.0,102.243,HARD
30.0,102.475,HARD
31.0,102.427,HARD
32.0,102.5,HARD
33.0,102.471,HARD
34.0,102.676,HARD
35.0,121.787,MEDIUM
36.0,101.71,MEDIUM
37.0,101.477,MEDIUM
38.0,101.832,MEDIUM
39.0,101.782,MEDIUM
40.0,101.439,MEDIUM
41.0,101.316,MEDIUM
42.0,101.545,MEDIUM
43.0,101.327,MEDIUM
44.0,102.652,MEDIUM
45.0,101.392,MEDIUM
46.0,101.05,MEDIUM
47.0,101.954,MEDIUM
48.0,102.64,MEDIUM
49.0,100.909,MEDIUM
50.0,100.632,MEDIUM
51.0,100.603,MEDIUM
52.0,100.695,MEDIUM
53.0,100.562,MEDIUM
54.0,101.299,MEDIUM
55.0,122.3,SOFT
56.0,98.139,SOFT
1.0,110.368,MEDIUM
2.0,105.576,MEDIUM
3.0,104.644,MEDIUM
4.0,104.873,MEDIUM
5.0,103.803,MEDIUM
6.0,103.62,MEDIUM
7.0,103.814,MEDIUM
8.0,104.006,MEDIUM
9.0,103.728,MEDIUM
10.0,103.152,MEDIUM
11.0,123.675,HARD
12.0,103.292,HARD
13.0,103.267,HARD
14.0,103.164,HARD
15.0,103.092,HARD
16.0,103.131,HARD
17.0,103.08,HARD
18.0,103.007,HARD
